RefSeq. ID	UniProt SwissProt	Protein Name C1	C2	C3	C4	C5	C6	H1	H2	H3	H4	H5	H6	c1	c2	c3	h1	h2	h3
NP_000010	P24752	Acetyl-CoA acetyltransferase, mitochondrial precursor	8.32595	8.19273	8.10708	8.48156	7.99014	8.24859	8.78216	8.59592	8.48299	8.52647	8.34797	8.38534	0.08406	0.16350	0.82375	-1.21759	-0.53533	0.37851
NP_000021	P21549	Serine--pyruvate aminotransferase	9.67506	9.04974	8.92981	9.06493	8.82446	9.03599	12.32025	11.75572	11.95762	11.68414	11.65075	11.20710	0.83188	2.86196	0.53605	-1.32193	-0.47393	-0.39593
NP_000022	P13716	Delta-aminolevulinic acid dehydratase	11.09760	10.80125	10.66057	11.23546	10.09737	10.30093	11.04721	10.86523	10.63732	11.34262	10.49742	10.50185	-1.32193	-0.91594	-0.16812	0.11103	-0.32193	0.18903
NP_000026	P05062	Fructose-bisphosphate aldolase B	10.57306	10.99905	10.54975	10.45671	10.62592	10.79291	10.85699	10.94786	11.10738	11.00509	10.97134	10.94412	0.43296	-0.25154	0.07039	-0.08927	-0.64386	-0.04394
NP_000033	P02749	Beta-2-glycoprotein 1 precursor	12.13166	12.07540	11.91710	12.32066	12.05581	11.76052	11.99804	12.25912	12.22859	12.09628	12.15632	12.10343	-0.32193	0.59455	0.28688	-0.51457	-0.37707	-0.07400
NP_000062	P35520	Cystathionine beta-synthase	10.75199	10.43081	10.94093	10.01626	10.77657	10.50751	10.32324	10.20725	10.54949	10.73870	10.22683	10.26376	-0.13606	1.05658	0.83996	-1.00000	-1.02915	-0.47393
NP_000117	P13804	Electron transfer flavoprotein subunit alpha, mitochondrial precursor	13.10088	12.78939	12.56459	12.92866	12.12235	12.90591	12.49962	12.24519	12.33116	12.66818	12.08133	12.20075	0.91839	-0.30401	0.95606	-0.43440	0.01436	1.44890
NP_000124	P00740	Coagulation factor IX precursor	13.18859	13.36009	13.33954	13.83489	13.59695	12.92911	13.74278	13.64315	13.24888	13.09807	13.23265	13.13658	-0.49411	0.27501	0.02857	-1.28630	0.94111	0.31034
NP_000173	P40939	Trifunctional enzyme subunit alpha, mitochondrial precursor	12.52008	11.46958	11.10314	11.14473	11.03103	10.99288	11.68727	11.56046	11.70422	12.10067	11.76178	11.47382	4.19061	3.34056	1.31034	-1.08927	-0.64386	-0.64386
NP_000282	P00558	Phosphoglycerate kinase 1	9.76579	9.46622	9.64102	9.42041	8.50086	8.98481	9.79139	9.66916	9.86863	9.91310	9.51803	9.75455	-0.39593	-0.51457	-0.18442	0.45418	0.01436	0.29866
NP_000356	P60175	Triosephosphate isomerase	11.73790	11.66495	12.64739	11.95427	11.89594	11.85377	11.84324	11.66482	12.01645	12.10825	12.31891	12.23956	-0.13606	-0.64386	0.04264	0.40054	-0.23447	0.13750
NP_000378	O43772	Mitochondrial carnitine/acylcarnitine carrier protein	10.69075	9.71109	8.37076	10.58634	9.35100	10.74068	11.16661	10.70335	10.97730	11.28435	10.65239	11.40251	1.20789	0.00000	0.62293	-0.34008	-0.02915	-0.35845
NP_000405	P51659	Peroxisomal multifunctional enzyme type 2	12.24188	11.96430	12.17106	12.57669	11.46535	12.21202	12.23587	11.89227	11.44982	11.90981	11.52257	11.56573	0.49570	0.27501	0.53605	-1.32193	-0.32193	0.51602
NP_000445	P60052	Superoxide dismutase [Cu-Zn]	14.14749	14.18258	13.84981	14.13124	13.69326	13.91177	14.19228	14.17598	14.08531	14.14441	14.11548	14.10368	0.21412	-0.64386	-0.68966	0.42223	0.04264	0.42223
NP_000468	P02768	Serum albumin precursor	12.37823	12.66912	11.98018	12.48218	12.80284	11.97791	12.24521	12.50010	12.83234	12.87929	13.00942	12.43603	0.13750	-0.34008	-0.68966	0.44361	0.66903	-0.13606
NP_000479	P01008	Antithrombin-III precursor	14.40660	14.29782	14.22556	14.32300	14.09804	14.21858	14.26418	14.30445	14.21802	14.29257	14.02386	14.11522	-0.83650	-0.73697	-0.55639	0.25096	0.01436	0.56560
NP_000498	P09467	Fructose-1,6-bisphosphatase 1	14.07715	12.91482	12.80960	12.23593	12.77109	13.54732	13.40370	13.16804	13.25506	13.36325	13.39962	12.52112	1.42223	-0.16812	0.08406	0.04264	-0.34008	0.22651
NP_000499	P02671	Fibrinogen alpha chain precursor	12.00837	12.76722	12.76441	12.69422	12.74256	12.38300	12.61419	12.44295	12.57149	12.29512	12.68746	11.53579	-0.10470	-0.32193	-0.43440	0.71370	-0.04394	0.60407
NP_000509	P68873	Hemoglobin subunit beta	12.18077	13.05718	11.45025	11.85356	10.74253	13.23450	11.59878	10.53423	12.55187	13.51623	12.94935	12.11201	0.55582	-0.12029	0.11103	0.22651	0.35614	-1.00000
NP_000598	P02763	Alpha-1-acid glycoprotein 1 precursor	13.75157	14.57159	14.45070	14.65689	14.59750	14.49305	14.58604	14.31943	14.61418	14.35466	14.58640	14.51761	0.01436	-0.35845	-0.04394	0.75702	0.50589	1.09085
